book a spot for 3 in mt	O O O O B-party_size_number O B-state
i need a reservation for four this year at a restaurant	O O O O O B-party_size_number B-timeRange I-timeRange O O B-restaurant_type
book a spot for 1 at a south american restaurant	O O O O B-party_size_number O O B-cuisine I-cuisine B-restaurant_type
book a spot at a taverna for my cousin and i in burundi	O O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country
book a spot for 4 at a restaurant in shambaugh md	O O O O B-party_size_number O O B-restaurant_type O B-city B-state
can i get a table at the fort	O O O O O O B-restaurant_name I-restaurant_name
book a restaurant not far in milladore for 6 people	O O B-restaurant_type B-spatial_relation I-spatial_relation O B-city O B-party_size_number O
book a restaurant for 2 at a cafe that i can get a croissant at	O O B-restaurant_type O B-party_size_number O O B-restaurant_type O O O O O B-served_dish O
book the mustard seed in turks and caicos islands for 9 people	O B-restaurant_name I-restaurant_name I-restaurant_name O B-country I-country I-country I-country O B-party_size_number O
book in town for 3 at a restaurant outdoor that is not far	O B-poi I-poi O B-party_size_number O O B-restaurant_type B-facility O O B-spatial_relation I-spatial_relation
i want to book a far brasserie that serves minestrone in pa for a party of 9 in 15 minutes	O O O O O B-spatial_relation B-restaurant_type O O B-served_dish O B-state O O O O B-party_size_number O B-timeRange I-timeRange
i need a table at a highly rated diner	O O O O O O B-sort I-sort B-restaurant_type
i want to reserve a gastropub that has a spa	O O O O O B-restaurant_type O O O B-facility
find a reservation at a brasserie restaurant nearby sc for a party of ten	O O O O O B-restaurant_type I-restaurant_type B-spatial_relation B-state O O O O B-party_size_number
book a restaurant for 7 people	O O B-restaurant_type O B-party_size_number O
book a table at skycity in salado for me and hannah	O O O O B-restaurant_name O B-city O B-party_size_description I-party_size_description I-party_size_description
i need a reservation for four at a bar	O O O O O B-party_size_number O O B-restaurant_type
book the atomic cafe for ten people	O O B-restaurant_name I-restaurant_name O B-party_size_number O
book a table for 1 person at a popular brasserie in jansen that serves english food	O O O O B-party_size_number O O O B-sort B-restaurant_type O B-city O O B-cuisine O
i want a restaurant in idaho for 2 of us	O O O B-restaurant_type O B-state O B-party_size_number O O
restaurant in niger for my mom and i	B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i want to book a table for me and josefa at jacob wirth restaurant in branford	O O O O O O O B-party_size_description I-party_size_description I-party_size_description O B-restaurant_name I-restaurant_name I-restaurant_name O B-city
book me a table for two in oakes	O O O O O B-party_size_number O B-city
book reservations at james d  conrey house at 1 pm for a party of nine	O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange O O O O B-party_size_number
casey chavez  lucinda and karina want to eat at a diner on december the 7th	B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange
i want a table to seat 10 at a close-by to ottumwa that serves osteria and ranch dressing	O O O O O O B-party_size_number O O B-spatial_relation O B-city O O B-restaurant_type O B-served_dish I-served_dish
i want top-rated veneto cuisine at a restaurant in antietam for 2	O O B-sort B-cuisine O O O B-restaurant_type O B-city O B-party_size_number
book a table for ten people at a restaurant that serves noodle	O O O O B-party_size_number O O O B-restaurant_type O O B-served_dish
please get me a reservation at a restaurant with a pool for manuela and yvonne	O O O O O O O B-restaurant_type O O B-facility O B-party_size_description I-party_size_description I-party_size_description
i d like to eat at the firehouse restaurant	O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name
i need a reservation for chapter one in west odessa for a party of one	O O O O O B-restaurant_name I-restaurant_name O B-city I-city O O O O B-party_size_number
reserve me a table for 10 at a mt cafe for breakfast	O O O O O B-party_size_number O O B-state B-restaurant_name O B-timeRange
book a restaurant that serves bouchée for midnight	O O B-restaurant_type O O B-served_dish O B-timeRange
book a co table at windows on the world	O O B-state O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
need a table at a restaurant serving foie gras on halloween for two at northern mariana islands	O O O O O B-restaurant_type O B-served_dish I-served_dish O B-timeRange O B-party_size_number O B-state I-state I-state
2 of us want to eat at a restaurant that serves meatballs in vt	B-party_size_number O O O O O O O B-restaurant_type O O B-served_dish O B-state
find a restaurant for marylou and i within walking distance of my mum s hotel	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description B-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi I-poi
book a table for tomorrow for five people	O O O O B-timeRange O B-party_size_number O
book a gastropub in rose creek for elevenses	O O B-restaurant_type O B-city I-city O B-timeRange
i need a diner	O O O B-restaurant_type
book a table for four in orchard grass hills  nv	O O O O B-party_size_number O B-city I-city I-city B-state
i would like to book a puglia food court in ky	O O O O O O B-cuisine B-restaurant_type I-restaurant_type O B-state
i d like a table for 10 at a distant place downtown for next fall	O O O O O O B-party_size_number O O B-spatial_relation O B-poi O B-timeRange I-timeRange
in one hundred twenty seven days i d like to eat at a pizzeria in north lima	B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange O O O O O O O B-restaurant_type O B-city I-city
book a restaurant in fort gates  fl	O O B-restaurant_type O B-city I-city B-state
book a restaurant for me and rosemary at 1 am	O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
book a highly rated fast food restaurant in falmouth	O O B-sort I-sort B-restaurant_type I-restaurant_type I-restaurant_type O B-city
i d like a table for 6 at a restaurant in denmark at 22	O O O O O O B-party_size_number O O B-restaurant_type O B-country O B-timeRange
i want a table for four at a place in california	O O O O O B-party_size_number O O O O B-state
i need a restaurant that has internet access for a party of six	O O O B-restaurant_type O O B-facility O O O O O B-party_size_number
book a table for ten people in eucalyptus hills	O O O O B-party_size_number O O B-city I-city
please book a coffeehouse restaurant type room to accommodate gretchen  trisha and amber which serves pastelaria dish	O O O B-restaurant_type I-restaurant_type O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-cuisine O
book a restaurant at tennessee	O O B-restaurant_type O B-state
book me top-rated restaurant for 9 members for midnight at fair bluff ri	O O B-sort B-restaurant_type O B-party_size_number O O B-timeRange O B-city I-city B-state
i want to find a salami restaurant in bastian in	O O O O O B-served_dish B-restaurant_type O B-city B-state
make me a reservation in tn somewhere nearby for a party of 4	O O O O O B-state O B-spatial_relation O O O O B-party_size_number
book a table for 2 in gleed	O O O O B-party_size_number O B-city
i need a table at somewhere within walking distance of nv on november the 24th  2027	O O O O O O B-spatial_relation I-spatial_relation I-spatial_relation O B-state O B-timeRange I-timeRange I-timeRange I-timeRange
i want to book a meal at a restaurant that searves kouglof	O O O O O B-timeRange O O B-restaurant_type O O B-served_dish
i d like seats for five at a place in verden right now	O O O O O B-party_size_number O O O O B-city O B-timeRange
i d like to eat a restaurant in or nearby pelahatchie at 12 o clock	O O O O O O B-restaurant_type O O B-spatial_relation B-city O B-timeRange I-timeRange I-timeRange
book a table for 3 far from tullytown at a coffeehouse with a smoking room	O O O O B-party_size_number B-spatial_relation O B-poi O O B-restaurant_type O O B-facility I-facility
book midday at a faraway cuban place for five at a top-rated bakery in grainola	O B-timeRange O O B-spatial_relation B-cuisine O O B-party_size_number O O B-sort B-restaurant_type O B-city
me and my niece want to eat somewhere close by hopatcong	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-spatial_relation I-spatial_relation B-poi
i need to reserve a seat for one in sd at a brasserie restaurant	O O O O O O O B-party_size_number O B-state O O B-restaurant_type I-restaurant_type
book reservations not far from our neighborhood for a party of 2	O O B-spatial_relation I-spatial_relation O O B-poi O O O O B-party_size_number
book close-by for 1 in south dakota	O B-spatial_relation O B-party_size_number O B-state I-state
book a restaurant in palestine for 8 people at 9 am	O O B-restaurant_type O B-country O B-party_size_number O O B-timeRange I-timeRange
1 minute from now  i will need reservations at a restaurant in vanlue	B-timeRange I-timeRange I-timeRange I-timeRange O O O O O O B-restaurant_type O B-city
book a latin cuisine pub for 2 on september the 13th  2037 in kazakhstan	O O B-cuisine O B-restaurant_type O B-party_size_number O B-timeRange I-timeRange I-timeRange I-timeRange O B-country
book a spot for me and my sister at a restaurant that has clafoutis	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-served_dish
book a restautant in north dakota at a bistro that is indoor	O O O O B-state I-state O O B-restaurant_type O O B-facility
can i book a restaurant that serves pastelaria in takilma  virgin islands	O O O O B-restaurant_type O O B-cuisine O B-city B-state I-state
make me a reservation in hardesty at a joint the is indoor	O O O O O B-city O O B-restaurant_type O O B-facility
i need to book a restaurant for five in liberia at the maisonette	O O O O O B-restaurant_type O B-party_size_number O B-country O B-restaurant_name I-restaurant_name
book a table for january the twentieth at a place far from your daughter s campus	O O O O B-timeRange I-timeRange I-timeRange O O O B-spatial_relation O B-poi I-poi I-poi I-poi
book a restaurant for 2 at top-rated hoonah tn	O O B-restaurant_type O B-party_size_number O B-sort B-city B-state
book a restaurant	O O B-restaurant_type
i need a top-rated gastropub for 5 in dc in conshohocken on jul  the 18th  2024	O O O B-sort B-restaurant_type O B-party_size_number O B-state O B-city O B-timeRange I-timeRange I-timeRange I-timeRange
i m looking to book a reservation in aruba at a place nearby	O O O O O O O O B-country O O O B-spatial_relation
me and imelda want a reservation in missouri at seven am	B-party_size_description I-party_size_description I-party_size_description O O O O B-state O B-timeRange I-timeRange
book a food court in raytown arizona that serves green bean casserole on july 20th	O O B-restaurant_type I-restaurant_type O B-city B-state O O B-served_dish I-served_dish I-served_dish O B-timeRange I-timeRange
i need a table in neighboring carencro at the bridge round house	O O O O O B-spatial_relation B-city O O B-restaurant_name I-restaurant_name I-restaurant_name
nancy  elma ruiz and molly want to eat at a restaurant in gibraltar	B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type O B-country
party of two for a food truck on december 22 that serves chicken french in bolivia	O O B-party_size_number O O B-restaurant_type I-restaurant_type O B-timeRange I-timeRange O O B-served_dish I-served_dish O B-country
book a restaurant in the marshall islands for two people	O O B-restaurant_type O O B-state I-state O B-party_size_number O
book a popular joint in ocean gate for seven people at elevenses	O O B-sort B-restaurant_type O B-city I-city O B-party_size_number O O B-timeRange
book a taverna in wisconsin for 22:54	O O B-restaurant_type O B-state O B-timeRange
book a best steakhouse for 2 in montserrat on 79 days and a half from now	O O B-sort B-restaurant_type O B-party_size_number O B-country O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
i need a reservation for a tea house in maple glen for four people	O O O O O O B-restaurant_type I-restaurant_type O B-city I-city O B-party_size_number O
i d like to eat at a highly rated swiss restaurant in irma at two pm	O O O O O O O B-sort I-sort B-cuisine B-restaurant_type O B-city O B-timeRange I-timeRange
in delanson 1 hour from now reserve a table for four	O B-city B-timeRange I-timeRange I-timeRange I-timeRange O O O O B-party_size_number
book a table for 8 people at robinson house	O O O O B-party_size_number O O B-restaurant_name I-restaurant_name
i need to book a table at a place around here in pa for a party of two	O O O O O O O O O B-spatial_relation O O B-state O O O O B-party_size_number
can i get some russian cuisine at a restaurant with shari and i	O O O O B-cuisine O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description
my group of seven wants to eat at yogurt mountain in slick tonight	O O O B-party_size_number O O O O B-restaurant_name I-restaurant_name O B-city B-timeRange
please make reservations for 4 for the hog fry from the food truck	O O O O B-party_size_number O O B-served_dish I-served_dish O O B-restaurant_type I-restaurant_type
book table to a tavern for a scrapple for harriett  deanne and i	O O O O B-restaurant_type O O B-served_dish O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a restaurant in delhi arkansas for three people	O O B-restaurant_type O B-city B-state O B-party_size_number O
i need a reservation for four at a restaurant in 1 hour and 1 second	O O O O O B-party_size_number O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange
i need reservations for a party of 3 on all souls  day in temperance  north dakota	O O O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange O B-city B-state I-state
book a restaurant in almyra in 10 years	O O B-restaurant_type O B-city B-timeRange I-timeRange I-timeRange
i need a restaurant on july 18th in rose bud	O O O B-restaurant_type O B-timeRange I-timeRange O B-city I-city
i need a table at the apple pan for reva and bernadine	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_description I-party_size_description I-party_size_description
christie  concepcion and i want to eat trattoria at a brasserie in johnston now	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O B-cuisine O O B-restaurant_type O B-city B-timeRange
i want to book a restaurant far from the municipal borough of mitcham for 10 people	O O O O O B-restaurant_type B-spatial_relation O O B-poi I-poi I-poi I-poi O B-party_size_number O
book a tyrolean restaurant in crocker indiana now for 3 people	O O B-cuisine B-restaurant_type O B-city B-state B-timeRange O B-party_size_number O
book sot for 22 minutes from now at a restaurant with parking	O O O B-timeRange I-timeRange I-timeRange I-timeRange O O B-restaurant_type O B-facility
book a highly rated gastropub that has a pastelaria in blue anchor  md in 55 weeks for my brother in law and i	O O B-sort I-sort B-restaurant_type O O O B-cuisine O B-city I-city B-state B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
i need to book a table at a nearby restaurant	O O O O O O O O B-spatial_relation B-restaurant_type
book a table at a osteria type restaurant in sd	O O O O O B-restaurant_type O B-restaurant_type O B-state
my father in law and i would like to go to a highly rated bar	B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O O O B-sort I-sort B-restaurant_type
i need a table at a restaurant that serves toast eleven months from now	O O O O O O B-restaurant_type O O B-served_dish B-timeRange I-timeRange I-timeRange I-timeRange
i d like to book a table at black horse tavern in georgia at 4 am	O O O O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state O B-timeRange I-timeRange
i want to book a bar neighboring our apartment	O O O O O B-restaurant_type B-spatial_relation B-poi I-poi
i d like a table for five at any restaurant	O O O O O O B-party_size_number O O B-restaurant_type
book a restaurant with parking facility for 3	O O B-restaurant_type O B-facility O O B-party_size_number
find a reservation at the roseland theater at 10 pm	O O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange
i need a table at a brasserie in belgium	O O O O O O B-restaurant_type O B-country
book a restaurant in the dominican republic in one minute for a party of eight	O O B-restaurant_type O O B-country I-country B-timeRange I-timeRange I-timeRange O O O O B-party_size_number
i need a reservation for a gastropub that serves a maple bacon donut	O O O O O O B-restaurant_type O O O B-served_dish I-served_dish I-served_dish
i need reservations at khedive palace that s close in town	O O O O B-restaurant_name I-restaurant_name O O B-spatial_relation B-poi I-poi
i want to bring six of us to a bistro in town that serves hot chicken sandwich that is within the same area	O O O O B-party_size_number O O O O B-restaurant_type B-poi I-poi O O B-served_dish I-served_dish I-served_dish O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation
book a bar in sc in leonville	O O B-restaurant_type O B-state O B-city
i d like to eat at a pho restaurant in vt	O O O O O O O B-served_dish B-restaurant_type O B-state
book a spot for two at a churrascaria that sells cupcake in lumpkin indiana now	O O O O B-party_size_number O O B-restaurant_type O O B-served_dish O B-city B-state B-timeRange
i need a table for 2 on feb  18 at main deli steak house	O O O O O B-party_size_number O B-timeRange I-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name
i m looking to get a seat at a brasserie in togo	O O O O O O O O O B-restaurant_type O B-country
book a brasserie with a pool within the same area as my neighborhood for 5 people at 19:26	O O B-restaurant_type O O B-facility B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O O B-poi O B-party_size_number O O B-timeRange
i want to take my mom and i to the tea house	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type I-restaurant_type
book reservations at a restaurant in jersey for six people next october	O O O O B-restaurant_type O B-country O B-party_size_number O B-timeRange I-timeRange
find a coffeehouse in illinois for three	O O B-restaurant_type O B-state O B-party_size_number
i want a table for 8 in plain on aug  5	O O O O O B-party_size_number O B-city O B-timeRange I-timeRange
book tea at the hamburger wagon for 3 vickie reed  melody and i in georgia	O B-timeRange O B-restaurant_name I-restaurant_name I-restaurant_name O B-party_size_number B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country
book a restaurant for jul  27	O O B-restaurant_type O B-timeRange I-timeRange
book a highly rated restaurant in central african republic for 5 people on sep  the second	O O B-sort I-sort B-restaurant_type O B-country I-country I-country O B-party_size_number O O B-timeRange I-timeRange I-timeRange
book a food truck in mp for me and my ex husband	O O B-restaurant_type I-restaurant_type O B-state O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book a table at a restaurant in lucerne valley that serves chicken nugget	O O O O O B-restaurant_type O B-city I-city O O B-served_dish I-served_dish
i want a table for my grandson and i somewhere in arkansas	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-state
book me a bar that s highly rated for georgia and i in burkina	O O O B-restaurant_type O O B-sort I-sort O B-party_size_description I-party_size_description I-party_size_description O B-country
casey and i will be in kentucky for food	B-party_size_description I-party_size_description I-party_size_description O O O B-state O O
book a table for chasity and i in vanuatu	O O O O B-party_size_description I-party_size_description I-party_size_description O B-country
i d like a table at a top-rated tea house with javanese cuisine this week in germany	O O O O O O O B-sort B-restaurant_type I-restaurant_type O B-cuisine O B-timeRange I-timeRange O B-country
book me a top-rated pub	O O O B-sort B-restaurant_type
please book a restaurant for 45 weeks from now in fm	O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange O B-state
book a spot for 3 in egypt at five	O O O O B-party_size_number O B-country O B-timeRange
book a table for nine people at a brasserie on jan  16  2034	O O O O B-party_size_number O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange
at thirteen o clock book a table for margie and i in vanuatu	O B-timeRange I-timeRange I-timeRange O O O O B-party_size_description I-party_size_description I-party_size_description O B-country
book a spot for nona gray  myrtle and alison at a top-rated brasserie that is distant from wilson av on nov  the 4th  2030 that serves ouzeri	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-sort B-restaurant_type O O B-spatial_relation O B-poi I-poi O B-timeRange I-timeRange I-timeRange I-timeRange O O B-cuisine
book a restaurant with parking for kirsten morris and i	O O B-restaurant_type O B-facility O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book john pearson soda works restaurant on 7/27/2036	O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type O B-timeRange
i need a table at a restaurant serving carne pizzaiola for tamra davis  viola and dorothea	O O O O O O B-restaurant_type O B-served_dish I-served_dish O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
book cornelia and bettie a table at a brasserie restaurant in colombia	O B-party_size_description I-party_size_description I-party_size_description O O O O B-restaurant_type I-restaurant_type O B-country
book me and my grandparents a restaurant in saint helens south dakota	O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-restaurant_type O B-city I-city B-state I-state
book reservations at a restaurant in niue for me  edna and glenda	O O O O B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
i need a table for 3 at david whitney house in brazil	O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name O B-country
book a table for a macedonia restaurant	O O O O O B-country B-restaurant_type
need a table somewhere in mclaurin connecticut	O O O O O B-city B-state
need a table for nine in east prairie la	O O O O B-party_size_number O B-city I-city B-state
i need a table for 10 at thomas hynes house nineteen minutes from now	O O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name B-timeRange I-timeRange I-timeRange I-timeRange
i need a table in tn that s not to far for a party of ten	O O O O O B-state O O B-spatial_relation O B-spatial_relation O O O O B-party_size_number
book a restaurant in lake fenton for four	O O B-restaurant_type O B-city I-city O B-party_size_number
book a reservation for a restaurant serving wontons for ten people in leopold	O O O O O B-restaurant_type O B-served_dish O B-party_size_number O O B-city
book a restaurant in kamrar for midday	O O B-restaurant_type O B-city O B-timeRange
book main deli steak house on february 13 in serbia and montenegro	O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange O B-country I-country I-country
book a restaurant in al at oak ridge	O O B-restaurant_type O B-state O B-city I-city
book a reservation for 1 on march 17	O O O O B-party_size_number O B-timeRange I-timeRange
book me a restaurant reservation in madagascar	O O O B-restaurant_type O O B-country
courtney and ruby want to eat at a restaurant three years from now	B-party_size_description I-party_size_description I-party_size_description O O O O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange
book a restaurant reservation in hong kong	O O B-restaurant_type O O B-country I-country
book a restaurant in french southern territories on dec  the fifth  2026 for two	O O B-restaurant_type O B-country I-country I-country O B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_number
book a table at a faraway brasserie in nj	O O O O O B-spatial_relation B-restaurant_type O B-state
book a table at the wwe the world in south korea	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-country I-country
charlene and i and are are in liechtenstein and want restaurant reservations at midnight	B-party_size_description I-party_size_description I-party_size_description O O O O B-country O O B-restaurant_type O O B-timeRange
i want to book a restaurant next year in glazier for 6 people	O O O O O B-restaurant_type B-timeRange I-timeRange O B-city O B-party_size_number O
i need a reservation for a brasserie place for a party of two	O O O O O O B-restaurant_type O O O O O B-party_size_number
book a brasserie restaurant at 18:28 and order wings	O O B-restaurant_type I-restaurant_type O B-timeRange O O B-served_dish
get me a table for sonya  rebekah and i at a restaurant in latvia	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-country
i want to book dinner by heston blumenthal in al	O O O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-state
book a table in arizona serving italian-american cuisine in a tavern for 2	O O O O B-state O B-served_dish I-served_dish O O B-restaurant_type O B-party_size_number
book a table 1 year from now for corinne  tisha and i at a restaurant in guernsey that is top-rated	O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-country O O B-sort
need a jewish in maine to book a restaurant	O O B-cuisine O B-state O O O B-restaurant_type
book a table at a tea house in 21 hours in northern mariana islands	O O O O O B-restaurant_type I-restaurant_type B-timeRange I-timeRange I-timeRange O B-state I-state I-state
i need a table at a cafeteria for a party of 6 in al	O O O O O O B-restaurant_type O O O O B-party_size_number O B-state
book a restaurant in macedonia for 13 hours from now	O O B-restaurant_type O B-country O B-timeRange I-timeRange I-timeRange I-timeRange
book a reservation for a restaurant in stonewood  gu	O O O O O B-restaurant_type O B-city B-state
i m looking for a table of eight at the alley	O O O O O O O B-party_size_number O B-restaurant_name I-restaurant_name
book a table in fleetwood at a nearby deli	O O O O B-poi O O B-spatial_relation O
book me a restaurant for 4 members at beaman federated states of micronesia in one minute	O O O B-restaurant_type O B-party_size_number O O B-city B-state I-state I-state I-state B-timeRange I-timeRange I-timeRange
book reservations to a cafeteria in brockway colorado that serves thai food for six people	O O O O B-restaurant_type O B-city B-state O O B-cuisine O O B-party_size_number O
book the gus stevens seafood restaurant & buccaneer lounge in papua new guinea for one person	O O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-country I-country I-country O B-party_size_number O
restaurant in south sudan for 6	B-restaurant_type O B-country I-country O B-party_size_number
book a reservation for ten at a restaurant in american samoa at 2 am	O O O O B-party_size_number O O B-restaurant_type O B-state I-state O B-timeRange I-timeRange
book a table at a tavern in albania for annette  darlene and barbara james for ten am	O O O O O B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-timeRange I-timeRange
book me a table at a tartinery restaurant not far from my home in elk rapids	O O O O O O B-restaurant_name I-restaurant_name B-spatial_relation I-spatial_relation O O B-poi O B-city I-city
i want to eat close by east brady for seven  people	O O O O B-spatial_relation I-spatial_relation B-poi I-poi O B-party_size_number O
book a table at a bar in cambodia that serves cheese fries	O O O O O B-restaurant_type O B-country O O B-served_dish I-served_dish
i d like a table for natasha  bettye and kimberley at a coffeehouse with a smoking room	O O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O O B-facility I-facility
book me seating at a popular joint for sep  the 10th	O O O O O B-sort B-restaurant_type O B-timeRange I-timeRange I-timeRange
book an oyster bar in american samoa for lunch	O O B-restaurant_type I-restaurant_type O B-state I-state O B-timeRange
book a nearby northeast indian restaurant in north carolina for ten people at six am	O O B-spatial_relation B-cuisine I-cuisine B-restaurant_type O B-state I-state O B-party_size_number O O B-timeRange I-timeRange
book this week for their step sister s workplace close	O B-timeRange I-timeRange O B-poi I-poi I-poi I-poi I-poi B-spatial_relation
table for nine at an internet pub	O O B-party_size_number O O B-facility B-restaurant_type
i need a table at a restaurant in ireland serving kouglof	O O O O O O B-restaurant_type O B-country O B-served_dish
make a reservation for eunice thompson and elisa martin in the virgin islands in one minute	O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-state I-state B-timeRange I-timeRange I-timeRange
book the labworth café in ethiopia for six people	O O B-restaurant_name I-restaurant_name O B-country O B-party_size_number O
book a spa in pizzeria on november 24  2036	O O B-facility O B-restaurant_type O B-timeRange I-timeRange I-timeRange
book a gibassier serving tavern in vermont for nine	O O B-served_dish O B-restaurant_type O B-state O B-party_size_number
find a reservation in deweese for my sister and i	O O O O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description
book me a reestaurant that is close in the country of cocos islands	O O O O O O B-spatial_relation O O O O B-country I-country
book a table in fairview neighboring the area	O O O O B-poi B-spatial_relation O B-spatial_relation
i need to book a restaurant at four o clock for 4	O O O O O B-restaurant_type O B-timeRange I-timeRange I-timeRange O B-party_size_number
